x,y,size,angle,response,octave,class_id
216.929122925,150.661880493,51,270,440.637207031,2,-1
233.844024658,210.106536865,13,270,462.496887207,0,1
386.844024658,208.106536865,13,270,462.496887207,0,1
547.844055176,208.106536865,13,270,462.496887207,0,1
568.623168945,235.808029175,96,270,466.047241211,2,-1
261.498443604,208.915435791,12,270,467.225738525,0,1
414.498443604,206.915435791,12,270,467.225738525,0,1
575.498474121,206.915435791,12,270,467.225738525,0,1
273.804016113,213.321136475,13,270,484.961120605,0,1
426.804016113,211.321136475,13,270,484.961120605,0,1
587.804016113,211.321136475,13,270,484.961120605,0,1
220.842880249,208.661865234,13,270,493.12487793,0,1
373.842895508,206.661865234,13,270,493.12487793,0,1
534.842895508,206.661865234,13,270,493.12487793,0,1
244.372177124,235.641052246,83,270,516.098205566,2,-1
222.010910034,189.647872925,13,270,516.199462891,0,1
375.010894775,187.647872925,13,270,516.199462891,0,1
536.010925293,187.647872925,13,270,516.199462891,0,1
217.848907471,209.692474365,13,270,526.72253418,0,1
370.848907471,207.692474365,13,270,526.72253418,0,1
531.848876953,207.692474365,13,270,526.72253418,0,1
290.385192871,190.265625,13,270,529.342163086,0,1
443.385192871,188.265625,13,270,529.342163086,0,1
604.385192871,188.265625,13,270,529.342163086,0,1
267.979034424,211.340835571,13,270,529.654968262,0,1
420.979034424,209.340835571,13,270,529.654968262,0,1
581.979064941,209.340835571,13,270,529.654968262,0,1
370.750366211,186.542160034,118,270,537.477111816,2,1
264.629486084,210.160995483,13,270,537.514892578,0,1
417.629486084,208.160995483,13,270,537.514892578,0,1
578.629516602,208.160995483,13,270,537.514892578,0,1
223.564788818,207.71472168,13,270,539.39855957,0,1
376.564788818,205.71472168,13,270,539.39855957,0,1
537.564758301,205.71472168,13,270,539.39855957,0,1
483.849121094,200.053268433,52,270,540.898498535,1,-1
234.641525269,194.062347412,12,270,542.705078125,0,1
387.641540527,192.062347412,12,270,542.705078125,0,1
548.641540527,192.062347412,12,270,542.705078125,0,1
278.160125732,150.499679565,53,270,547.963623047,2,-1
274.854644775,189.699645996,13,270,548.623840332,0,1
427.854644775,187.699645996,13,270,548.623840332,0,1
588.854675293,187.699645996,13,270,548.623840332,0,1
276.162475586,195.293228149,13,270,555.941894531,0,1
429.162475586,193.293228149,13,270,555.941894531,0,1
590.162475586,193.293228149,13,270,555.941894531,0,1
231.119033813,192.743942261,13,270,577.821289062,0,1
384.119018555,190.743942261,13,270,577.821289062,0,1
545.119018555,190.743942261,13,270,577.821289062,0,1
274.617340088,186.670822144,114,270,822.326599121,2,1
407.381347656,281.030609131,12,270,833.019042969,0,1
253.381347656,117.030601501,12,270,833.019042969,0,1
581.381347656,111.030601501,12,270,833.019042969,0,1
367.835021973,200.363937378,94,270,884.541992188,2,-1
399.410064697,218.494506836,134,270,904.098388672,3,1
372.138916016,214.045288086,114,270,1163.52978516,2,1
476.559112549,199.87677002,53,270,1217.89819336,1,-1
274.645477295,216.17741394,113,270,1327.76782227,2,1
368.633392334,152.370361328,58,270,1422.88378906,1,-1
414.746826172,184.994247437,81,270,1427.19189453,2,1
438.147979736,152.434417725,59,270,1428.11279297,1,-1
481.235290527,215.28817749,135,270,1472.3918457,3,1
402.069519043,184.32913208,86,270,1618.61303711,2,1
574.328613281,184.690109253,80,270,1627.48168945,2,1
404.272033691,249.096633911,232,270,1636.59875488,3,1
402.906341553,170.353866577,79,270,1684.68273926,2,-1
433.766723633,189.176895142,113,270,1705.51086426,2,1
526.961914062,189.49671936,114,270,1735.94262695,2,1
481.295959473,184.331924438,133,270,1739.43811035,3,1
424.593536377,193.698974609,132,270,1805.49023438,2,1
563.235900879,182.990722656,89,270,1877.46130371,2,1
403.4637146,277.874694824,13,270,2052.12915039,0,1
249.463699341,113.874702454,13,270,2052.12915039,0,1
577.463684082,107.874702454,13,270,2052.12915039,0,1
295.904418945,149.331710815,83,270,2071.64379883,2,-1
579.249328613,214.119598389,83,270,2103.90136719,2,1
428.935913086,204.947799683,132,270,2112.84667969,3,1
424.25289917,207.220321655,133,270,2130.46704102,2,1
619.738220215,139.152709961,133,270,2133.91186523,3,-1
416.543914795,214.094543457,82,270,2154.63891602,2,1
353.522186279,253.505386353,86,270,2256.66308594,2,-1
621.390319824,133.234466553,135,270,2301.97338867,2,-1
249.174957275,185.289627075,86,270,2348.26098633,2,1
518.340820312,137.4246521,110,270,2355.69897461,2,-1
384.746582031,214.033462524,85,270,2378.86230469,2,1
545.53515625,213.993896484,85,270,2400.83959961,2,1
526.745605469,210.142532349,112,270,2420.85766602,2,1
406.83996582,268.923706055,14,270,2440.58105469,0,1
252.839981079,104.923713684,14,270,2440.58105469,0,1
580.83996582,98.9237136841,14,270,2440.58105469,0,1
