x,y,size,angle,response,octave,class_id
67.1784286499,48.7208404541,15.0,270.0,74071.46875,0,-1
71.8074035645,32.5049629211,26.0,270.0,70483.71875,0,-1
92.8712158203,23.0578861237,19.0,270.0,60910.8789062,0,1
62.0565338135,53.9512443542,19.0,270.0,60335.703125,0,1
92.9684677124,53.9684677124,19.0,270.0,60188.1054688,0,1
62.0312385559,23.0330619812,19.0,270.0,60188.1054688,0,1
84.9952926636,46.4806213379,23.0,270.0,55971.5429688,0,-1
71.9066009521,31.4665260315,28.0,270.0,49575.1289062,1,-1
88.1531600952,27.8800106049,13.0,270.0,47944.2226562,0,-1
85.4949035645,44.4832687378,25.0,270.0,47551.6640625,0,-1
73.2433929443,44.2046394348,16.0,270.0,39966.2109375,0,1
66.0818481445,49.740486145,44.0,270.0,35133.2578125,1,1
62.7953414917,40.7692146301,22.0,270.0,17884.1445312,0,1
76.7343444824,28.267490387,14.0,270.0,15904.5371094,0,-1
87.7788925171,38.1537513733,14.0,270.0,8700.84765625,0,-1
79.6262435913,32.7590637207,13.0,270.0,3109.92285156,0,1
82.8490066528,23.7822189331,13.0,270.0,2811.64599609,0,1
73.6736907959,52.8387680054,16.0,270.0,2218.52880859,0,1
81.2125091553,39.5793228149,13.0,270.0,996.506713867,0,1
56.296421051,33.6940917969,38.0,270.0,814.084777832,1,1
