x,y,size,angle,response,octave,class_id
576.147888184,680.001342773,31.0,270.0,433.874145508,0,1
319.881896973,452.460662842,222.0,270.0,624.78894043,3,1
305.246154785,733.381164551,32.0,270.0,849.398986816,0,1
586.741333008,659.263122559,31.0,270.0,954.627807617,0,-1
224.451019287,725.815429688,51.0,270.0,1139.28149414,1,1
541.591064453,675.739746094,95.0,270.0,1156.46105957,2,-1
226.121536255,719.14074707,20.0,270.0,1871.25158691,0,1
247.528640747,718.220092773,57.0,270.0,2949.68603516,2,-1
598.186767578,686.9375,32.0,270.0,3123.36352539,0,-1
293.211700439,707.139770508,52.0,270.0,5058.12597656,1,-1
591.664245605,700.661560059,58.0,270.0,5126.0234375,2,-1
519.211547852,701.676452637,45.0,270.0,5307.37597656,1,-1
423.865142822,350.090026855,46.0,270.0,5316.68164062,1,1
553.658691406,708.777282715,23.0,270.0,6465.05175781,0,1
590.683532715,701.107727051,53.0,270.0,6738.3203125,1,-1
95.1724700928,507.536956787,32.0,270.0,12383.6083984,1,1
607.248779297,720.556030273,31.0,270.0,12907.0527344,1,1
610.224487305,647.644470215,28.0,270.0,13371.8476562,0,1
505.664123535,653.500366211,29.0,270.0,13996.5039062,0,1
