x,y,size,angle,response,octave,class_id
99.556388855,31.9240932465,12,270,494.020019531,0,1
128.466934204,49.6930618286,13,270,500.885131836,0,1
105.359916687,29.7180709839,13,270,554.903930664,0,1
131.175369263,50.6145973206,13,270,584.223999023,0,1
102.109550476,30.9050369263,13,270,591.225219727,0,1
48.3244857788,49.7620582581,13,270,592.749389648,0,1
75.4594345093,46.020904541,12,270,621.221252441,0,1
126.490585327,28.2591915131,13,270,625.461975098,0,1
100.735084534,45.9826431274,12,270,641.307434082,0,1
69.4842529297,48.3018455505,13,270,642.36126709,0,1
73.1807403564,30.891368866,13,270,666.792175293,0,1
72.4898834229,47.2195739746,13,270,667.028869629,0,1
58.1092185974,25.7201118469,13,270,667.226379395,0,1
59.9076271057,45.6717414856,13,270,670.635986328,0,1
56.973400116,46.685710907,13,270,682.433959961,0,1
116.592498779,25.7906036377,13,270,689.280090332,0,1
118.001823425,31.2659893036,13,270,698.8125,0,1
115.107963562,32.2731323242,13,270,722.119873047,0,1
129.232025146,27.2665748596,13,270,738.195129395,0,1
45.6556053162,50.688331604,13,270,742.460205078,0,1
115.553215027,51.1916694641,13,270,744.329956055,0,1
113.875724792,26.7265644073,13,270,745.83581543,0,1
62.5472602844,44.7508621216,13,270,773.409545898,0,1
105.926589966,22.9019241333,29,270,3244.22216797,1,-1
69.1774291992,22.8505172729,29,270,3407.61157227,1,-1
71.8447570801,54.1813240051,28,270,3931.90673828,1,-1
105.037460327,23.321390152,27,270,4007.07177734,0,-1
103.098403931,23.8177433014,27,270,4036.92480469,0,-1
74.7447891235,24.6642589569,27,270,4041.53027344,0,-1
99.7768554688,24.8293380737,28,270,4112.9609375,0,-1
104.433189392,54.1298484802,29,270,4175.91894531,1,-1
113.634933472,54.7955818176,18,270,4976.671875,0,-1
114.052276611,22.2778530121,19,270,5005.01708984,0,-1
74.5175552368,53.3061714172,27,270,5041.99169922,0,-1
103.550132751,53.6781959534,27,270,5104.26660156,0,-1
62.8795509338,54.8401908875,19,270,5117.67382812,0,-1
60.3057518005,22.1999645233,19,270,5245.87353516,0,-1
116.237426758,55.9496269226,16,270,5248.3203125,0,-1
57.4196014404,20.9895935059,16,270,5287.83251953,0,-1
117.366088867,20.9989624023,15,270,5382.75292969,0,-1
60.1788139343,56.0114059448,16,270,5428.23144531,0,-1
75.6075668335,24.6338214874,29,270,5799.08007812,1,-1
99.5133361816,24.7104072571,29,270,5980.61132812,1,-1
123.848526001,38.6882781982,34,270,14316.8193359,0,-1
87.9992752075,46.3907585144,21,270,14908.4003906,0,-1
107.914001465,38.6973190308,18,270,15605.8378906,0,-1
57.1248092651,38.9238891602,29,270,16557.1855469,1,-1
118.723564148,38.6219902039,29,270,17388.7070312,1,-1
116.498214722,38.6801719666,26,270,17450.7109375,0,-1
59.3319282532,38.964805603,26,270,17887.203125,0,-1
136.025299072,60.768119812,28,270,19562.2011719,0,1
87.8699417114,28.3862438202,29,270,19983.4765625,0,-1
110.454139709,38.7101554871,20,270,20814.2011719,0,-1
136.119186401,16.4981498718,27,270,21191.8046875,0,1
65.2921066284,38.9402656555,20,270,21623.6679688,0,-1
77.1070632935,38.7456054688,31,270,22343.8535156,1,1
87.7784576416,49.6341094971,30,270,22417.7617188,1,-1
87.8512649536,26.5020503998,34,270,22676.7246094,0,-1
87.8768997192,28.1240367889,30,270,22874.2089844,1,-1
98.7504043579,38.7544403076,30,270,22961.2988281,1,1
87.9840774536,51.1210098267,34,270,24315.9863281,0,-1
141.402618408,47.1444511414,30,270,26331.9726562,1,-1
141.46697998,29.9305286407,30,270,26589.2167969,1,-1
26.4119606018,25.3399124146,19,270,27176.1054688,0,-1
144.392501831,26.696434021,22,270,27183.6640625,0,-1
140.216125488,31.0499172211,33,270,27209.5097656,0,-1
29.9051380157,49.0825843811,29,270,27473.0703125,1,-1
140.193374634,46.0346488953,33,270,27511.8710938,0,-1
29.8480262756,28.9661979675,29,270,28518.0839844,1,-1
30.8861980438,47.9385986328,32,270,28702.2519531,0,-1
30.9720973969,30.3273563385,33,270,29136.0488281,0,-1
146.670272827,24.7519683838,15,270,29260.4765625,0,-1
146.653137207,52.3897666931,15,270,29431.453125,0,-1
142.805831909,48.3635215759,27,270,30000.2578125,0,-1
142.831054688,28.7261638641,27,270,30209.0507812,0,-1
25.3345794678,24.0361671448,15,270,30295.5664062,0,-1
28.2879428864,27.9154777527,27,270,30602.0703125,0,-1
28.1551113129,50.4311485291,27,270,30883.59375,0,-1
95.4900360107,38.8057441711,21,270,31859.2539062,0,1
80.3372192383,38.8690032959,21,270,31878.0097656,0,1
25.3981933594,54.133026123,15,270,33728.609375,0,-1
136.588470459,38.6835670471,50,270,40879.6054688,1,-1
37.4146118164,38.9354934692,53,270,47922.4921875,1,-1
151.832443237,61.5777778625,26,270,55821.9296875,0,1
19.062789917,61.8083076477,25,270,61038.171875,0,1
