x,y,size,angle,response,octave,class_id
233.844024658,210.106536865,13,270,462.496887207,0,1
233.844024658,210.106536865,13,270,462.496887207,0,1
233.844024658,210.106536865,13,270,462.496887207,0,1
261.498443604,208.915435791,12,270,467.225738525,0,1
273.804016113,213.321136475,13,270,484.961120605,0,1
220.842880249,208.661865234,13,270,493.12487793,0,1
220.842880249,208.661865234,13,270,493.12487793,0,1
220.842880249,208.661865234,13,270,493.12487793,0,1
222.010910034,189.647872925,13,270,516.199462891,0,1
217.848907471,209.692474365,13,270,526.72253418,0,1
217.848907471,209.692474365,13,270,526.72253418,0,1
217.848907471,209.692474365,13,270,526.72253418,0,1
290.385192871,190.265625,13,270,529.342163086,0,1
290.385192871,190.265625,13,270,529.342163086,0,1
223.564788818,207.71472168,13,270,539.39855957,0,1
223.564788818,207.71472168,13,270,539.39855957,0,1
234.641525269,194.062347412,12,270,542.705078125,0,1
234.641525269,194.062347412,12,270,542.705078125,0,1
274.854644775,189.699645996,13,270,548.623840332,0,1
274.854644775,189.699645996,13,270,548.623840332,0,1
276.162475586,195.293228149,13,270,555.941894531,0,1
276.162475586,195.293228149,13,270,555.941894531,0,1
231.119033813,192.743942261,13,270,577.821289062,0,1
234.056610107,187.085037231,27,270,3412.25341797,0,-1
234.056610107,187.085037231,27,270,3412.25341797,0,-1
234.056610107,187.085037231,27,270,3412.25341797,0,-1
262.814178467,187.172805786,27,270,3416.65869141,0,-1
262.814178467,187.172805786,27,270,3416.65869141,0,-1
262.814178467,187.172805786,27,270,3416.65869141,0,-1
274.604614258,217.746856689,18,270,3504.08496094,0,-1
275.662506104,184.66734314,17,270,3574.41723633,0,-1
275.662506104,184.66734314,17,270,3574.41723633,0,-1
276.716583252,218.928878784,16,270,3600.41674805,0,-1
219.255081177,184.087432861,15,270,3714.77490234,0,-1
221.833969116,218.957946777,16,270,3737.22460938,0,-1
264.210479736,216.589065552,27,270,3777.69921875,0,-1
264.210479736,216.589065552,27,270,3777.69921875,0,-1
236.404510498,216.055130005,27,270,4169.0625,0,-1
236.404510498,216.055130005,27,270,4169.0625,0,-1
236.404510498,216.055130005,27,270,4169.0625,0,-1
233.564285278,186.749908447,28,270,4330.61523438,1,-1
263.640899658,186.789108276,28,270,4365.93115234,1,-1
263.640899658,186.789108276,28,270,4365.93115234,1,-1
249.016937256,209.458892822,21,270,13226.5117188,0,-1
280.032318115,201.68637085,29,270,13664.0703125,1,-1
280.032318115,201.68637085,29,270,13664.0703125,1,-1
370.861480713,200.064804077,29,270,14973.109375,1,-1
277.67855835,201.689941406,26,270,15563.2119141,0,-1
220.145080566,201.966720581,26,270,15941.3476562,0,-1
448.726654053,221.798919678,31,270,17045.7714844,1,1
271.649536133,201.713943481,20,270,17935.8867188,0,-1
271.649536133,201.713943481,20,270,17935.8867188,0,-1
248.864868164,191.349029541,29,270,18470.8808594,0,-1
226.149734497,201.942626953,20,270,18548.3828125,0,-1
611.043823242,177.680175781,27,270,19196.5058594,0,1
412.653747559,199.877349854,30,270,20981.1347656,1,1
238.178588867,201.894470215,30,270,21089.8671875,1,1
248.844863892,189.544052124,34,270,21321.2617188,0,-1
248.890274048,190.933563232,30,270,21421.3359375,1,-1
401.987518311,212.129699707,34,270,22852.6230469,0,-1
248.966751099,212.607437134,30,270,23152.8398438,1,-1
615.421936035,192.035140991,33,270,24716.6914062,0,-1
615.362609863,207.029602051,33,270,25024.2851562,0,-1
186.90826416,187.386657715,16,270,25495.8710938,0,-1
186.90826416,187.386657715,16,270,25495.8710938,0,-1
458.799713135,187.440734863,20,270,25787.5136719,0,-1
458.799713135,187.440734863,20,270,25787.5136719,0,-1
458.881958008,211.647567749,20,270,25905.015625,0,-1
191.632705688,211.173233032,32,270,26947.6054688,0,-1
191.787719727,193.12046814,32,270,27409.3632812,0,-1
617.795471191,209.368713379,27,270,27431.6054688,0,-1
190.683288574,212.266372681,29,270,27453.3984375,1,-1
617.829284668,189.738067627,27,270,27502.5585938,0,-1
616.71496582,190.644088745,29,270,27506.6074219,1,-1
616.659240723,208.429382324,30,270,27660.6757812,1,-1
190.959671021,191.987808228,29,270,27766.8984375,1,-1
256.547027588,201.803436279,21,270,28511.2480469,0,1
189.472366333,190.940841675,27,270,28562.7597656,0,-1
241.276519775,201.870315552,22,270,28610.4296875,0,1
186.95916748,216.893341064,16,270,28859.7050781,0,-1
189.377838135,213.41229248,27,270,28876.9492188,0,-1
196.537139893,201.925918579,57,270,29168.171875,2,-1
611.872619629,199.835494995,50,270,38708.1796875,1,-1
180.428482056,224.464889526,28,270,49707.6484375,1,1
626.72277832,222.38734436,26,270,50672.7109375,0,1
