X,Y,Response,,,,,,,,,,,,19.062789917,19.062789917,0,,16.4981498718,16.4981498718,0
233.844024658,210.106536865,462.496887207,,,180.428482056,180.428482056,0,,177.680175781,177.680175781,0,,,151.832443237,151.832443237,0,,20.9895935059,16.4981498718,4.4914436341
386.844024658,208.106536865,462.496887207,,,626.72277832,626.72277832,0,,182.087432861,182.087432861,0,,,87.8768997192,87.8699417114,0.0069580078,,20.9989624023,20.9895935059,0.0093688964
547.844055176,208.106536865,462.496887207,,,370.861480713,370.848907471,0.012573242,,182.66734314,182.66734314,0,,,87.9992752075,87.9840774536,0.0151977539,,22.1999645233,20.9989624023,1.201002121
261.498443604,208.915435791,467.225738525,,,297.043823242,297.026733398,0.017089844,,185.085037231,185.085037231,0,,,146.670272827,146.653137207,0.01713562,,22.2778530121,22.1999645233,0.0778884888
414.498443604,206.915435791,467.225738525,,,248.864868164,248.844863892,0.020004272,,185.172805786,185.172805786,0,,,87.8699417114,87.8512649536,0.0186767578,,22.8505172729,22.2778530121,0.5726642608
575.498474121,206.915435791,467.225738525,,,401.864868164,401.844848633,0.020019531,,185.386657715,185.386657715,0,,,140.216125488,140.193374634,0.022750854,,22.9019241333,22.8505172729,0.0514068604
273.804016113,213.321136475,484.961120605,,,562.864868164,562.844848633,0.020019531,,187.440734863,187.440734863,0,,,142.831054688,142.805831909,0.025222779,,23.321390152,22.9019241333,0.4194660187
426.804016113,211.321136475,484.961120605,,,562.987487793,562.96673584,0.020751953,,187.544052124,187.544052124,0,,,99.556388855,99.5133361816,0.0430526734,,23.8177433014,23.321390152,0.4963531494
587.804016113,211.321136475,484.961120605,,,248.987518311,248.966751099,0.020767212,,187.647872925,187.647872925,0,,,29.9051380157,29.8480262756,0.0571117401,,24.0361671448,23.8177433014,0.2184238434
220.842880249,208.661865234,493.12487793,,,562.890258789,562.864868164,0.025390625,,187.699645996,187.699645996,0,,,25.3981933594,25.3345794678,0.0636138916,,24.6338214874,24.0361671448,0.5976543426
373.842895508,206.661865234,493.12487793,,,248.890274048,248.864868164,0.025405884,,188.265625,188.265625,0,,,141.46697998,141.402618408,0.064361572,,24.6642589569,24.6338214874,0.0304374695
534.842895508,206.661865234,493.12487793,,,563.016906738,562.987487793,0.029418945,,188.940841675,188.940841675,0,,,87.8512649536,87.7784576416,0.072807312,,24.7104072571,24.6642589569,0.0461483002
222.010910034,189.647872925,516.199462891,,,249.016937256,248.987518311,0.029418945,,189.349029541,189.349029541,0,,,30.9720973969,30.8861980438,0.0858993531,,24.7519683838,24.7104072571,0.0415611267
375.010894775,187.647872925,516.199462891,,,402.016937256,401.987518311,0.029418945,,189.738067627,189.738067627,0,,,136.119186401,136.025299072,0.093887329,,24.8293380737,24.7519683838,0.0773696899
536.010925293,187.647872925,516.199462891,,,617.829284668,617.795471191,0.033813477,,190.743942261,190.743942261,0,,,116.592498779,116.498214722,0.094284057,,25.3399124146,24.8293380737,0.5105743409
217.848907471,209.692474365,526.72253418,,,303.829284668,303.795440674,0.033843994,,191.12046814,191.12046814,0,,,87.9840774536,87.8768997192,0.1071777344,,25.7201118469,25.3399124146,0.3801994323
370.848907471,207.692474365,526.72253418,,,456.829284668,456.795440674,0.033843994,,192.035140991,192.035140991,0,,,60.3057518005,60.1788139343,0.1269378662,,25.7906036377,25.7201118469,0.0704917908
531.848876953,207.692474365,526.72253418,,,186.95916748,186.90826416,0.05090332,,192.062347412,192.062347412,0,,,28.2879428864,28.1551113129,0.1328315735,,26.5020503998,25.7906036377,0.7114467621
290.385192871,190.265625,529.342163086,,,339.95916748,339.90826416,0.05090332,,193.293228149,193.293228149,0,,,75.6075668335,75.4594345093,0.1481323242,,26.696434021,26.5020503998,0.1943836212
443.385192871,188.265625,529.342163086,,,500.95916748,500.90826416,0.05090332,,199.689941406,199.689941406,0,,,57.1248092651,56.973400116,0.1514091491,,26.7265644073,26.696434021,0.0301303863
604.385192871,188.265625,529.342163086,,,616.71496582,616.659240723,0.055725097,,199.713943481,199.713943481,0,,,114.052276611,113.875724792,0.176551819,,27.2665748596,26.7265644073,0.5400104523
223.564788818,207.71472168,539.39855957,,,302.71496582,302.659240723,0.055725097,,199.803436279,199.803436279,0,,,99.7768554688,99.556388855,0.2204666138,,27.9154777527,27.2665748596,0.6489028931
376.564788818,205.71472168,539.39855957,,,301.421936035,301.362609863,0.059326172,,199.870315552,199.870315552,0,,,74.7447891235,74.5175552368,0.2272338867,,28.1240367889,27.9154777527,0.2085590362
537.564758301,205.71472168,539.39855957,,,454.421936035,454.362609863,0.059326172,,199.942626953,199.942626953,0,,,113.875724792,113.634933472,0.24079132,,28.2591915131,28.1240367889,0.1351547242
234.641525269,194.062347412,542.705078125,,,615.421936035,615.362609863,0.059326172,,199.966720581,199.966720581,0,,,116.498214722,116.237426758,0.260787964,,28.3862438202,28.2591915131,0.1270523071
387.641540527,192.062347412,542.705078125,,,248.966751099,248.890274048,0.076477051,,205.71472168,205.71472168,0,,,60.1788139343,59.9076271057,0.2711868286,,28.7261638641,28.3862438202,0.3399200439
548.641540527,192.062347412,542.705078125,,,562.96673584,562.890258789,0.076477051,,206.661865234,206.661865234,0,,,57.4196014404,57.1248092651,0.2947921753,,28.9661979675,28.7261638641,0.2400341034
274.854644775,189.699645996,548.623840332,,,619.881958008,619.799743652,0.082214356,,206.915435791,206.915435791,0,,,69.4842529297,69.1774291992,0.3068237305,,29.7180709839,28.9661979675,0.7518730164
427.854644775,187.699645996,548.623840332,,,305.881958008,305.799713135,0.082244873,,207.029602051,207.029602051,0,,,105.359916687,105.037460327,0.32245636,,29.9305286407,29.7180709839,0.2124576568
588.854675293,187.699645996,548.623840332,,,458.881958008,458.799713135,0.082244873,,207.458892822,207.458892822,0,,,62.8795509338,62.5472602844,0.3322906494,,30.3273563385,29.9305286407,0.3968276978
276.162475586,195.293228149,555.941894531,,,342.472351074,342.377838135,0.094512939,,207.692474365,207.692474365,0,,,115.553215027,115.107963562,0.445251465,,30.891368866,30.3273563385,0.5640125275
429.162475586,193.293228149,555.941894531,,,503.472351074,503.377838135,0.094512939,,208.106536865,208.106536865,0,,,103.550132751,103.098403931,0.45172882,,30.9050369263,30.891368866,0.0136680603
590.162475586,193.293228149,555.941894531,,,189.472366333,189.377838135,0.094528198,,209.173233032,209.173233032,0,,,136.588470459,136.119186401,0.469284058,,31.0499172211,30.9050369263,0.1448802948
231.119033813,192.743942261,577.821289062,,,401.987518311,401.864868164,0.122650147,,209.368713379,209.368713379,0,,,105.926589966,105.359916687,0.566673279,,31.2659893036,31.0499172211,0.2160720825
384.119018555,190.743942261,577.821289062,,,344.787719727,344.632720947,0.15499878,,211.321136475,211.321136475,0,,,59.9076271057,59.3319282532,0.5756988525,,31.9240932465,31.2659893036,0.6581039429
545.119018555,190.743942261,577.821289062,,,505.787719727,505.632720947,0.15499878,,211.41229248,211.41229248,0,,,105.037460327,104.433189392,0.604270935,,32.2731323242,31.9240932465,0.3490390777
234.056610107,187.085037231,3412.25341797,,,191.787719727,191.632705688,0.155014039,,211.647567749,211.647567749,0,,,118.001823425,117.366088867,0.635734558,,38.6219902039,32.2731323242,6.3488578797
